Feature,Importance
CreditHistoryAge_24 Years and 9 Months,0.00038137237601853314
CustomerID_CUS0xfaf,0.0003807404290401124
CreditHistoryAge_20 Years and 10 Months,0.00038033675819743506
Name_Yoko Kubotal,0.00037980997033027245
"TypeofLoan_Auto Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, and Student Loan",0.00037980734748708643
CustomerID_CUS0x406,0.0003792267875846482
SSN_214-58-4052,0.00037911773471716926
"TypeofLoan_Auto Loan, Payday Loan, Payday Loan, Mortgage Loan, Mortgage Loan, Auto Loan, and Mortgage Loan",0.0003789106407620681
SSN_586-33-6787,0.00037820181495874566
Name_Matt Scuffhamj,0.00037805726775299296
"TypeofLoan_Credit-Builder Loan, Payday Loan, Student Loan, and Home Equity Loan",0.0003779624771940864
CustomerID_CUS0xc629,0.00037776751315458544
CustomerID_CUS0x68d5,0.0003774381875025946
Name_Lewisz,0.00037654732004336044
CustomerID_CUS0x99d4,0.0003741361615083992
Name_Margareti,0.00037279383529825044
CustomerID_CUS0x56b4,0.00037180509792010384
"TypeofLoan_Payday Loan, Not Specified, Debt Consolidation Loan, and Mortgage Loan",0.00037135057035590053
SSN_900-82-5231,0.00037111598999571614
CreditHistoryAge_27 Years and 9 Months,0.00037077496749913087
Name_Henry Foya,0.0003704210899782642
SSN_550-63-8553,0.0003702368376882295
Name_Herbertg,0.000370145696042374
SSN_341-75-1132,0.0003695959104876932
SSN_460-92-1394,0.00036917462954301044
CreditHistoryAge_28 Years and 0 Months,0.00036856055885178894
SSN_788-42-3871,0.0003680666799138641
Name_Emma Thomassons,0.00036778553269391093
CreditHistoryAge_5 Years and 3 Months,0.00036700919799839373
"TypeofLoan_Home Equity Loan, and Debt Consolidation Loan",0.00036691034699646576
SSN_542-49-0323,0.0003665231968121291
CustomerID_CUS0x37b2,0.00036620144296832974
CreditHistoryAge_25 Years and 3 Months,0.00036508235016479204
CustomerID_CUS0x178b,0.00036461643755482837
